doc_id,text
407,america equal chief justice mark cady landmark decision brought marriage equality iowa pushed nation closer ideals
408,deeply concerned unjust detainment jose daniel ferrer voice change cuba cuban government ferrer released
409,elections criminal convictions
410,loss ive found overcome enormous tragedy life finding purpose life
411,president trump continues undermine registered apprenticeships programs provide path middle class union job president save programs amp ensure american skills ahead saveapprenticeshipweek
412,prayers action protect kids
413,im proud support
414,courage shown lawmakers staff gun safety advocates richmond inspiring past time calls reform met concrete action gun violence epidemic istandwithvirginia day job
415,couldnt
416,impeachment hearings conclude donald trump threat national security day sits oval office dangerous day agree chip donald trump term president
417,don’t donald trump white house urgent drastic action address climate emergency planet recover
418,heal divisions country act america
419,battle soul nation we’ve donald trump’s cruel immigration policies violation core american values architect policies embraced fanned ugly flames white nationalism
420,beat epidemic
421,chip dollars ensure volunteers materials talk voters donate
422,love california
423,private health insurance plan shouldn’t forced dont buy medicare public option choice americans president
424,days public defender time vice president ive spent entire career fighting discrimination championing civil rights im running president bring fight oval office share american dream
425,school shooting kid fear safety school parent worry kid home hearts santa clarita prayers arent real gun reform schools safer
426,president trump campaigned repairing nation’s crumbling infrastructure countless infrastructure weeks failed deliver results change im calling transformational investment nations future
427,affordable care act assault weapons ban violence women act race stronger record passing consequential legislation takes job
428,american people deserve donald trump hiding tax returns
